2924-APE;APEX;HONDA;AXIAL DE CREMALLERA;HONDA CRV M12X1,25 M14X1,5 L=207,00 MM.;SM
2925-APE;APEX;DAIHATSU;AXIAL DE CREMALLERA;DAIHATSU MOVE 98 M14X1,5 M12X1,25 L=225,00 MM.;SM
2926-APE;APEX;TOYOTA;AXIAL DE CREMALLERA;TOYOTA HILUX 15> M14X1,5 M16X1,5 L=290,00 MM;SM
2926R-APE;APEX;TOYOTA;AXIAL DE CREMALLERA;TOYOTA HILUX 15> M14X1,5 M16X1,5 L=290,00 MM (REFORZADA);SM
2927-APE;APEX;HONDA;AXIAL DE CREMALLERA;HONDA CITY 09> M18X1,5 M14X1,5 L=234,00 MM.;SM
2927-APE;APEX;HONDA;AXIAL DE CREMALLERA;HONDA FIT 09> M18X1,5 M14X1,5 L=234,00 MM.;SM
2928-APE;APEX;TOYOTA;AXIAL DE CREMALLERA;TOYOYA COROLLA 02/.. M14X1,5 M15X1,5 L=274,00 MM.;SM
2929-APE;APEX;NISSAN;AXIAL DE CREMALLERA;NISSAN SERENA 94> M14X1,5 M17X1,5 L=312,00 MM.;SM
2930-APE;APEX;SUZUKI;AXIAL DE CREMALLERA;SUZUKI SWIFT 07> M18x1,5 M12X1,25  L=213,00 MM.;SM
2931-APE;APEX;NISSAN;AXIAL DE CREMALLERA;NISSAN TIIDA H14X1,5 M12X1,25  L=200,00 MM.;SM
2932-APE;APEX;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI I 10 M16X1,5 M12X1,25 L=303,00 MM.;SM
2933-APE;APEX;HONDA;AXIAL DE CREMALLERA;HONDA PILOT 08> M10X1,5 M14X1,5 L=228,50 MM.;SM
2934-APE;APEX;SUZUKI;AXIAL DE CREMALLERA;SUZUKI SWIFT 2011 M18X1,5 M12X1,25 L=303 MM.;SM
2935-APE;APEX;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI I 30 >12 / ELANTRA >10 M16X1,5 M14X1,5 L=165,00 MM.;SM
2936-APE;APEX;KIA;AXIAL DE CREMALLERA;KIA SORENTO (DERECHO) 02> M18X1,5 M14X1,5 L=174,00 MM.;SM
2937-APE;APEX;KIA;AXIAL DE CREMALLERA;KIA SORENTO (IZQUIERDO) 02> M18X1,5 M14X1,5 L= 174,00 MM.;SM
2938-APE;APEX;KIA;AXIAL DE CREMALLERA;KIA SORENTO 2010 M16X1,5 M16X1,5 L=195,00 MM.;SM
2939-APE;APEX;KIA;AXIAL DE CREMALLERA;KIA SPORTAGE 04 > M16X1,5 M16X1,5 L=245,00 MM.;SM
2940-APE;APEX;KIA;AXIAL DE CREMALLERA;KIA SOUL 2009 M16X1,5 M16X1,5 L=245,50 MM.;SM
2941-APE;APEX;KIA;AXIAL DE CREMALLERA;KIA PICANTO >07 M16X1,5 M12X1,25 L=288,00 MM.;SM
2942-APE;APEX;KIA;AXIAL DE CREMALLERA;KIA PICANTO 07> M16X1,5 M12X1,25 L=289,00 MM.;SM
2943-APE;APEX;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI TUCSON M16X1,5 M16X1,5 L=245,00 MM.;SM
2944-APE;APEX;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI SANTA FE >06 M16X1,5 M14X1,5 L=321,00 MM.;SM
2945-APE;APEX;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI SANTA FE 06> M16X1,5 M16X1,5 L=145,00 MM.;SM
2946-APE;APEX;SUZUKI;AXIAL DE CREMALLERA;SUZUKI GRAND VITARA J III M18x1,5 M14x1,5 L= 345,00 MM.;SM
2947-APE;APEX;HONDA;AXIAL DE CREMALLERA;HONDA CIVIC 06/11 M18X1,5 M14X1,5 L= 174,50 MM.;SM
2948-APE;APEX;HONDA;AXIAL DE CREMALLERA;HONDA ACCORD 98/03 M16X1,5 M14X1,5 L=142,00 MM.;SM
2949-APE;APEX;KIA;AXIAL DE CREMALLERA;KIA MOHAVE 08> M18X1,5 M16X1,5 L=174,00 MM.;SM
2950-APE;APEX;NISSAN;AXIAL DE CREMALLERA;NISSAN MURANO M16X1 M14X1,5 L=239,00 MM.;SM
2951-APE;APEX;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI ELANTRA 01>06 M16X1,5 M14X1,5 L=330,00 MM.;SM
2951-APE;APEX;KIA;AXIAL DE CREMALLERA;KIA CERATO 04>08 M16X1,5 M14X1,5 L=330,00 MM. ;SM
2952-APE;APEX;KIA;AXIAL DE CREMALLERA;KIA K2500 01> M18X1,5 M14X1,5 L=271,00 MM.;SM
2953-APE;APEX;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI ACCENT >95 / ELANTRA >92 M16X1,5 M14X1,5 L=291,00 MM. ;SM
2954-APE;APEX;NISSAN;AXIAL DE CREMALLERA;NISSAN MARCH 12 M14X1,5 M12X1,25 L= 225 MM.;SM
2955-APE;APEX;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI TUCSON 10> M16X1,5 M16X1,5 L=170 MM;SM
2957-APE;APEX;HONDA;AXIAL DE CREMALLERA;HONDA CIVIC / CRV 92>95 16X1,5 M14X1,5 L= 172 MM;SM
2958-APE;APEX;TOYOTA;AXIAL DE CREMALLERA;TOYOTA LAND CRUISER PRADO 4X4 02>07 M22X1,5 M15X1,5 L=260,00 MM.;SM
2959-APE;APEX;TOYOTA;AXIAL DE CREMALLERA;TOYOTA ETIOS M14X1,5 M12X1,5 L=190,00 MM.;SM
2960-APE;APEX;TOYOTA;AXIAL DE CREMALLERA;TOYOTA RAV4 2003 / 2005 M14X1,5 M15X1,5 L=297,00 MM.;SM
2961-APE;APEX;NISSAN;AXIAL DE CREMALLERA;NISSAN MARCH 14 > ASISTENCIA ELECTRICA M16X1,5 M12X1,25 L=222 MM.;SM
2962-APE;APEX;NISSAN;AXIAL DE CREMALLERA;NISSAN FRONT >15 / PATHFINDER  >12 / XTERRA >15 M14X1,5 M16X1,5 L=194 MM.;SM
2963-APE;APEX;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI I 30 13> - ELANTRA 10> - VELOSTER 11> M16X1,5 M16X1,5 L=215 MM ;SM
2964-APE;APEX;FORD;AXIAL DE CREMALLERA;FORD RANGER 16> M16X1,5 M14X1,5 L=205,00 MM.;SM
2964-APE;APEX;NISSAN;AXIAL DE CREMALLERA;NISSAN FRONTIER 08> M16X1,5 M14X1,5 L=205,00 MM. ;SM
2965-APE;APEX;MITSUBISHI;AXIAL DE CREMALLERA;MITSUBISHI TRITON L200 4X4 / MONTERO 01>07 M16X1,5 M16X1,5 L=200,00 MM. ;SM
2967-APE;APEX;TOYOTA;AXIAL DE CREMALLERA;TOYOTA RAV4 06> (ASISTENCIA ELECTRICA);SM
2972-APE;APEX;HONDA;AXIAL DE CREMALLERA;HONDA CRV 20X1,5 14X1,5 L=262 MM;SM
2973-APE;APEX;HONDA;AXIAL DE CREMALLERA;HONDA CRV 12> (ASISTENCIA ELECTRICA) M16X1 M14X1,5 251,00 MM.;SM
2974-APE;APEX;HONDA;AXIAL DE CREMALLERA;HONDA FIT / CITY 15> M18X1,5 M14X1,5 L=237,00 MM.;SM
2975-APE;APEX;HONDA;AXIAL DE CREMALLERA;HONDA ACCORD 03>07 M18X1,5 M14X1,5 L=124,00 MM. ;SM
2980-APE;APEX;CHERY;AXIAL DE CREMALLERA;CHERY TIGGO 08 > M16X1,5 M14X1,5 L=158,00 MM.;SM
2981-APE;APEX;CHERY;AXIAL DE CREMALLERA;CHERY FACE M14X1,5 M12X1,25 L= 278,4 MM.;SM
2982-APE;APEX;CHERY;AXIAL DE CREMALLERA;CHERY QQ M14X1,5 M12X1,25 L=243,40 MM.;SM
2983-APE;APEX;CHERY;AXIAL DE CREMALLERA;CHERY CIELO M16X1,5 M14X1,5 L=281 MM.;SM
2984-APE;APEX;CHERY;AXIAL DE CREMALLERA;CHERY TIGGO 09> M16X1,5 M14X1,5 L=301,00 MM.;SM
2986-APE;APEX;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI ACCENT 11> M16X1,5 M16X1,5 L=205 MM.;SM
680001-VIE;VIEMAR;FIAT;AXIAL DE CREMALLERA;FIAT 128,147 /03-84,  MEC.: MANUAL. ( C );SM
680001-VIE;VIEMAR;FIAT;AXIAL DE CREMALLERA;FIAT SPAZIO, FIORINO /84 MEC.: MANUAL. ( C );SM
680002-VIE;VIEMAR;FIAT;AXIAL DE CREMALLERA;FIAT UNO,DUNA, BRIO, VIVACE 82/92 MEC.: MANUAL.ROSCA EJE:M12X1,5.(C) ;SM
680003-VIE;VIEMAR;FIAT;AXIAL DE CREMALLERA;FIAT UNO,DUNA,VIVACE, SPAZIO 93/ MEC.: MANUAL. ROSCA EJE: M14X1,5. (C)  ;SM
680004-VIE;VIEMAR;FIAT;AXIAL DE CREMALLERA;FIAT TEMPRA /01-94 MEC.: HIDR. DHB.L:258MM.ROSCA COPA:16X1.5(A);SM
680008-VIE;VIEMAR;FORD;AXIAL DE CREMALLERA;FORD ESCORT 93/,ORION 93/ MEC.:MANUAL. LARGO 325MM. (A) ;SM
680008-VIE;VIEMAR;VOLKSWAGEN;AXIAL DE CREMALLERA;VOLKSWAGEN POINTER MEC.: MANUAL. LARGO 325MM.(A);SM
680009-VIE;VIEMAR;FORD;AXIAL DE CREMALLERA;FORD ESCORT 93/,ORION 93/ MEC.:HIDRÁULICO. (A);SM
680009-VIE;VIEMAR;VOLKSWAGEN;AXIAL DE CREMALLERA;VOLKSWAGEN POINTER MEC.: HIDRÁULICO. (A);SM
680010-VIE;VIEMAR;CHEVROLET;AXIAL DE CREMALLERA;CHEVROLET CHEVETTE / CHEVY ;SM
680011-VIE;VIEMAR;CHEVROLET;AXIAL DE CREMALLERA;CHEVROLET CORSA(TODOS) 94/07-99 MEC.: ZF MANUAL.ROSCA EJE: M14X2,0. (A);SM
680012-VIE;VIEMAR;CHEVROLET;AXIAL DE CREMALLERA;CHEVROLET CORSA >99 (MECANICA) DHB / CHEVY ;SM
680012-VIE;VIEMAR;CHEVROLET;AXIAL DE CREMALLERA;CHEVROLET TIGRA 93/ MEC.: SAGINAW/DHB MANUAL.ROSCA EJE: M12X1,5.(C) ;SM
680013-VIE;VIEMAR;ALFA ROMEO;AXIAL DE CREMALLERA;ALFA ROMEO 155 92> 145 / 146 2.0 TD94 GTV SPIDER 94> (MEC/HID) L=269,00 MM ;SM
680014-VIE;VIEMAR;RENAULT ;AXIAL DE CREMALLERA;RENAULT CLIO (TRW) LARGO 244 MM. ROSCA COPA:M14X1,5;SM
680014-VIE;VIEMAR;RENAULT ;AXIAL DE CREMALLERA;RENAULT CLIO II  98/99 MEC.:TRW.ROSCA COPA: M14X1.5.LARGO: 244MM.(A);SM
680015-VIE;VIEMAR;CHEVROLET;AXIAL DE CREMALLERA;CHEVROLET SPACE VAN MEC.: HIDRÁULICO/MANUAL.LARGO: 295MM.(B);SM
680015-VIE;VIEMAR;RENAULT ;AXIAL DE CREMALLERA;RENAULT TRAFIC 81/ MEC.: HIDRÁULICO/MANUAL.LARGO 295 MM.(B);SM
680016-VIE;VIEMAR;CITROEN;AXIAL DE CREMALLERA;CITROEN C15 78/88 MEC.: MANUAL, HIDRÁULICO. LARGO: 266MM(B);SM
680016-VIE;VIEMAR;PEUGEOT;AXIAL DE CREMALLERA;PEUGEOT 504PICK UP-505 80/ MEC.: HIDRÁULICO/MANUAL.LARGO:266MM.(B);SM
680017-VIE;VIEMAR;FORD;AXIAL DE CREMALLERA;"FORD FIESTA /95, KA 96/ MEC.: HIDRÁULICO/MANUAL.ROSCA EJE:1/2""X20.(A)";SM
680018-VIE;VIEMAR;CITROEN;AXIAL DE CREMALLERA;CITROEN XANTIA 1.8L 93/ MEC.: HIDRÁULICO.LARGO:314MM.(B);SM
680018-VIE;VIEMAR;PEUGEOT;AXIAL DE CREMALLERA;PEUGEOT 205 79/, 304, 305 77/82 LARGO:314MM.(B);SM
680019-VIE;VIEMAR;CITROEN;AXIAL DE CREMALLERA;CITROEN ZX 91/ MEC.: HIDRÁULICO. LARGO: 353MM. (B);SM
680019-VIE;VIEMAR;PEUGEOT;AXIAL DE CREMALLERA;PEUGEOT 306 93/, PARTNER 96/ MEC.: HIDRÁULICO.LARGO: 353 MM.(B);SM
680020-VIE;VIEMAR;RENAULT ;AXIAL DE CREMALLERA;RENAULT CLIO I 90/96 (B);SM
680021-VIE;VIEMAR;RENAULT ;AXIAL DE CREMALLERA;RENAULT R19 MEC.:HIDRÁULICO. LARGO 266 MM. (B);SM
680022-VIE;VIEMAR;FIAT;AXIAL DE CREMALLERA;FIAT PALIO, PALIO WEEKEND 01/, SIENA MEC.HID.TRW/DHB.R.COPA:M14X1.5.L:269 MM (A);SM
680023-VIE;VIEMAR;NO ESPECIFICADA;AXIAL DE CREMALLERA;ASIA MOTORS TOPIC / HI TOPIC (MEC/HID);SM
680023-VIE;VIEMAR;KIA;AXIAL DE CREMALLERA;KIA MOTORS BESTA, HI BESTA 90/97 MEC.: HIDRÁULICO.ROSCA COPA:M17X1,0.(A);SM
680023-VIE;VIEMAR;MAZDA;AXIAL DE CREMALLERA;MAZDA E2000, E2200 82/ MEC.: HIDRÁULICO.ROSCA COPA:M17X1,0.(A);SM
680025-VIE;VIEMAR;CHEVROLET;AXIAL DE CREMALLERA;CHEVROLET LUMINA APV 90/01 MEC.: HIDRÁULICO. LARGO 310MM.  ( C);SM
680026-VIE;VIEMAR;PEUGEOT;AXIAL DE CREMALLERA;PEUGEOT 405 87/ MEC.: HIDRÁULICO.LARGO:189MM.(B);SM
680027-VIE;VIEMAR;CHEVROLET;AXIAL DE CREMALLERA;CHEVROLET VECTRA 96/ MEC.: SAGINAW/DHB HIDRÁULICO. (A) ;SM
680028-VIE;VIEMAR;FORD;AXIAL DE CREMALLERA;FORD FIESTA 96/02, COURIER 96/ MEC.: HIDRÁULICO/MANUAL.ROSCA EJE:M14X2,0.(A) ;SM
680028-VIE;VIEMAR;MAZDA;AXIAL DE CREMALLERA;MAZDA 121 96/00, SOHO 96/00 MEC.: MANUAL/HIDRÁULICO.ROSCA EJE:14X2,0 (A);SM
680029-VIE;VIEMAR;FIAT;AXIAL DE CREMALLERA;FIAT PALIO 96/00,P.WEEK97/00,SIENA98/00 MEC.:MANUAL.LARGO:289 MM. (A) ;SM
680030-VIE;VIEMAR;ALFA ROMEO;AXIAL DE CREMALLERA;ALFA ROMEO 164 (MEC/HID);SM
680032-VIE;VIEMAR;VOLKSWAGEN;AXIAL DE CREMALLERA;VOLKSWAGEN GOLF III 94/98 MEC.: ZF HIDRÁULICO.LARGO: 370MM (A);SM
680033-VIE;VIEMAR;SEAT ;AXIAL DE CREMALLERA;SEAT INCA 98/ MEC.:  HIDRÁULICO. LARGO: 345MM (A);SM
680033-VIE;VIEMAR;VOLKSWAGEN;AXIAL DE CREMALLERA;VOLKSWAGEN POLO CLASIC, VAN, CADDY II 96/ MEC.: ZF HIDRÁULICO. LARGO 345MM.(A);SM
680034-VIE;VIEMAR;VOLKSWAGEN;AXIAL DE CREMALLERA;VOLKSWAGEN PASSAT 88/97 MEC.: ZF HIDRÁULICO.LARGO: 376MM (A);SM
680035-VIE;VIEMAR;KIA;AXIAL DE CREMALLERA;KIA MOTORS BESTA, BESTA GS 98/99,  MEC.: HIDRÁULICO. ROSCA COPA: M17X1,0 (A);SM
680037-VIE;VIEMAR;FIAT;AXIAL DE CREMALLERA;FIAT UNO,DUNA,FIORINO 92/ MEC.: TRW HIDRÁULICO.(A);SM
680038-VIE;VIEMAR;NISSAN;AXIAL DE CREMALLERA;NISSAN 100NX 90/94, SENTRA 88/95  MEC.: HIDRÁULICO. LARGO:267MM. (A)  ;SM
680039-VIE;VIEMAR;KIA;AXIAL DE CREMALLERA;KIA MOTORS SEPHIA 1.5-1.6. MEC.: HIDRÁULICO.LARGO: 288MM.(A);SM
680040-VIE;VIEMAR;RENAULT ;AXIAL DE CREMALLERA;RENAULT TWINGO 92/ MEC.: MANUAL.LARGO: 300 MM.(A);SM
680041-VIE;VIEMAR;FORD;AXIAL DE CREMALLERA;FORD FORD TAURUS 89/95 MUSTANG 94/00 ARTICULACIÓN AXIAL LARGO: 341MM. (C);SM
680042-VIE;VIEMAR;FIAT;AXIAL DE CREMALLERA;FIAT PALIO 96/00,P.WEEK97/00,SIENA98/00 MEC.: HIDRÁULICO.LARGO:282MM.(A);SM
680043-VIE;VIEMAR;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI H-100(TODAS) MEC.: HIDRÁULICO. (A);SM
680043-VIE;VIEMAR;MITSUBISHI;AXIAL DE CREMALLERA;MITSUBISHI L-300 /97, DELICA 82/97 MEC.: HIDRÁULICO. ROSCA COPA:M16X1,5 (A);SM
680044-VIE;VIEMAR;RENAULT ;AXIAL DE CREMALLERA;RENAULT CLIO II 95/99 MEC.:MANUAL/HID.R.COPA:M12X1,0. L: 245 MM. (A) ;SM
680046-VIE;VIEMAR;VOLKSWAGEN;AXIAL DE CREMALLERA;VOLKSWAGEN GOLF 91/99 REEMPLAZADO POR 680032;SM
680047-VIE;VIEMAR;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI EXCEL 89/92, ACCENT 94/00, COUPE 91/95 MEC.: MANUAL. LARGO: 293MM. (A);SM
680047-VIE;VIEMAR;MITSUBISHI;AXIAL DE CREMALLERA;MITSUBISHI GALANT, ETERNA 83/87 MEC.: MANUAL. LARGO:293MM. (A);SM
680048-VIE;VIEMAR;MERCEDES BENZ;AXIAL DE CREMALLERA;MERCEDES BENZ SPRINTER 95/ MEC.: HIDRÁULICO. LARGO: 388MM.(A);SM
680049-VIE;VIEMAR;MITSUBISHI;AXIAL DE CREMALLERA;MITSUBISHI ECLIPSE TURBO 95/99, GALANT 95/98  MEC.: HIDRÁULICO. LARGO: 238MM.(A);SM
680050-VIE;VIEMAR;FORD;AXIAL DE CREMALLERA;FORD ESCORT, ORION 93/96 MEC.: MANUAL ARGENTINO.LARGO: 329MM. ( C );SM
680050-VIE;VIEMAR;VOLKSWAGEN;AXIAL DE CREMALLERA;VOLKSWAGEN POINTER MEC.: MANUAL ARGENTINO. LARGO: 329MM. (C );SM
680051-VIE;VIEMAR;BMW;AXIAL DE CREMALLERA;BMW 316 / 318 / 320 / 323 / 325 92>98 / M3 / Z3 (MEC/HID) L=205,00 MM;SM
680052-VIE;VIEMAR;FORD;AXIAL DE CREMALLERA;FORD MONDEO 94/96 MEC.: HIDRÁULICO. (A);SM
680053-VIE;VIEMAR;FORD;AXIAL DE CREMALLERA;FORD MONDEO 97/01 MEC.: HIDRÁULICO. (A);SM
680054-VIE;VIEMAR;FORD;AXIAL DE CREMALLERA;FORD RANGER 98> / EXPLORER 95/98 L=258,00 MM;SM
680054-VIE;VIEMAR;MAZDA;AXIAL DE CREMALLERA;MAZDA B2500,B2600,B3000,B4000 98/01,NAVAJO 91/94 MEC.: HIDRÁULICO. LARGO: 258MM. (A);SM
680055-VIE;VIEMAR;MITSUBISHI;AXIAL DE CREMALLERA;MITSUBISHI COLT 93/98, LANCER 93/98, MIRAGE 93/98 MEC.: HIDRÁULICO. LARGO: 315MM.(A);SM
680056-VIE;VIEMAR;SEAT ;AXIAL DE CREMALLERA;SEAT CORDOBA 93/96, IBIZA 93/96, TOLEDO 91/96 MEC.:TRW MANUAL, HIDR.LARGO:338MM.(A);SM
680056-VIE;VIEMAR;VOLKSWAGEN;AXIAL DE CREMALLERA;"VOLKSWAGEN GOLF II 83/92 MEC.: TRW HIDRÁULICO.LARGO; 338MM.(A)";SM
680057-VIE;VIEMAR;VOLKSWAGEN;AXIAL DE CREMALLERA;VOLKSWAGEN PASSAT, PASSAT VARIANT 88/97 DIRECCION HIDRAULICA TRW LARGO TOTAL 355 MM ;SM
680058-VIE;VIEMAR;AUDI;AXIAL DE CREMALLERA;AUDI A4 95> / A8 94> / A6 98> / S4 97> / S6 99> (MEC/HID) L=129,00 MM;SM
680058-VIE;VIEMAR;VOLKSWAGEN;AXIAL DE CREMALLERA;VOLKSWAGEN PASSAT 97/ MEC.: ZF HIDRÁULICO.LARGO: 129MM (A);SM
680059-VIE;VIEMAR;VOLKSWAGEN;AXIAL DE CREMALLERA;VOLKSWAGEN TRANSPORTER (A);SM
680060-VIE;VIEMAR;MITSUBISHI;AXIAL DE CREMALLERA;MITSUBISHI ECLIPSE TURBO 90/94, GALANT 89/93 MEC.: MANUAL/HIDRÁULICO. LARGO: 315MM.(A);SM
680061-VIE;VIEMAR;VOLVO;AXIAL DE CREMALLERA;VOLVO 850 91/98,C70 97/,S60 00/ MEC.: HIDRÁULICO. LARGO 179MM. (A);SM
680061-VIE;VIEMAR;VOLVO;AXIAL DE CREMALLERA;VOLVO S70,V70 97/,S80 98/,S90,V90 97/ MEC.: HIDRÁULICO. LARGO 179MM. (A);SM
680062-VIE;VIEMAR;FIAT;AXIAL DE CREMALLERA;FIAT MAREA, MAREA WEEK.96/ MEC.: HIDRÁULICO.LARGO:309MM.(A);SM
680063-VIE;VIEMAR;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI EXCEL 90/94, ELANTRA 93/95,  MEC.:HIDRÁULICO. LARGO: 308 MM. ( C );SM
680063-VIE;VIEMAR;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI SONATA 89/94, S COUPE 91/95 MEC.:HIDRÁULICO. LARGO: 308 MM. ( C );SM
680063-VIE;VIEMAR;MITSUBISHI;AXIAL DE CREMALLERA;MITSUBISHI MIRAGE 93/00 MEC.: HIDRÁULICO . LARGO: 308MM.(A);SM
680064-VIE;VIEMAR;CHEVROLET;AXIAL DE CREMALLERA;CHEVROLET VECTRA 96/ MEC.:ZF HIDRÁULICO. (A) ;SM
680065-VIE;VIEMAR;TOYOTA;AXIAL DE CREMALLERA;TOYOTA COROLLA 88/ RAV4 95/ MEC.: HIDRÁULICO. LARGO:317 MM.(A) ;SM
680066-VIE;VIEMAR;RENAULT ;AXIAL DE CREMALLERA;RENAULT LAGUNA 93/ MEC.: HIDR.ROSCA COPA:M 12X1,0. LARGO: 262MM. (A);SM
680066-VIE;VIEMAR;RENAULT ;AXIAL DE CREMALLERA;RENAULT SCENIC/MEGANE 95/98 MEC.: HIDR SMI.R.COPA:M 12X1,0. LARGO: 262MM. (A);SM
680067-VIE;VIEMAR;CHEVROLET;AXIAL DE CREMALLERA;CHEVROLET CORSA(TODOS) 99/  MEC.: MANUAL.ROSCA EJE: M14X1,5. (C) ;SM
680068-VIE;VIEMAR;CHRYSLER;AXIAL DE CREMALLERA;CHRYSLER STRATUS MEC.: HIDRÁULICO. LARGO: 207MM. (A);SM
680069-VIE;VIEMAR;TOYOTA;AXIAL DE CREMALLERA;TOYOTA CORONA 92/97, CARINA, CELICA 94/ MEC.: HIDR. R. COPA: M14X1.5 L:239 MM.(A) ;SM
680070-VIE;VIEMAR;CHEVROLET;AXIAL DE CREMALLERA;CHEVROLET CORSA(TODOS) 08-99/, CELTA  MEC.: HIDRÁULICO.ROSCA EJE:14X1,5. (A);SM
680072-VIE;VIEMAR;HONDA;AXIAL DE CREMALLERA;HONDA  CIVIC 92/95 MEC.:HIDR. R. COPA: M12X1,25 L: 169 MM.  (A);SM
680073-VIE;VIEMAR;MITSUBISHI;AXIAL DE CREMALLERA;MITSUBISHI L-300 97/, DELICA 97/, STARWAGON 97/ MEC.: HIDRÁULICO. ROSCA COPA:M17X1,0 (A);SM
680074-VIE;VIEMAR;AUDI;AXIAL DE CREMALLERA;AUDI A3 96> (MEC/HID) L=341,00 MM;SM
680075-VIE;VIEMAR;IVECO;AXIAL DE CREMALLERA;IVECO DAILY MEC.: HIDRÁULICO. LARGO: 333MM;SM
680076-VIE;VIEMAR;CHEVROLET;AXIAL DE CREMALLERA;CHEVROLET ASTRA 98> / ZAFIRA 98> ;SM
680077-VIE;VIEMAR;CITROEN;AXIAL DE CREMALLERA;CITROEN JUMPER 94/ MEC.:HIDR.LARGO:322 MM..ROSCA COPA:M16X1.5 (A);SM
680077-VIE;VIEMAR;FIAT;AXIAL DE CREMALLERA;FIAT DUCATO 94/ MEC.:HIDR.ROSCA COPA:M16X1.5.LARGO:322MM.(A);SM
680077-VIE;VIEMAR;PEUGEOT;AXIAL DE CREMALLERA;PEUGEOT BOXER 06-94/ MEC.: HIDRÁULICO. R.COPA:M16X1.5.LARGO:322MM(A);SM
680078-VIE;VIEMAR;MAZDA;AXIAL DE CREMALLERA;MAZDA 626 93/, MX6 93/ MEC.: HIDRÁULICO. LARGO: 308MM. (A);SM
680079-VIE;VIEMAR;SUBARU;AXIAL DE CREMALLERA;SUBARU LEGACY 90/00, FORESTER 98/00 IMPREZA 93/00 MEC.: HIDRÁULICO. LARGO: 292MM. (A);SM
680082-VIE;VIEMAR;SUZUKI;AXIAL DE CREMALLERA;SUZUKI BALENO MEC.: HIDRÁULICO. LARGO 301MM. (A) ;SM
680083-VIE;VIEMAR;CHRYSLER;AXIAL DE CREMALLERA;CHRYSLER CARAVAN, GRAND CARAVAN MEC.: HIDRÁULICO.LARGO: 319MM. (A);SM
680084-VIE;VIEMAR;MITSUBISHI;AXIAL DE CREMALLERA;MITSUBISHI SPACE WAGON 91/ MEC.: HIDRÁULICO . LARGO 308MM.(A);SM
680085-VIE;VIEMAR;TOYOTA;AXIAL DE CREMALLERA;TOYOTA HILUX SW4 97/, 4RUNNER 96/ MEC.: HIDRÁULICO. (B);SM
680088-VIE;VIEMAR;FORD;AXIAL DE CREMALLERA;FORD FIESTA /95, KA MEC.:MANUAL ARGENTINO. LARGO 309 MM.(C) ;SM
680089-VIE;VIEMAR;HYUNDAI;AXIAL DE CREMALLERA;HYUNDAI ELANTRA 92/93 MEC.:HIDR.ROSCA EJE:M14X1,5.L:302 MM.(A);SM
680090-VIE;VIEMAR;NISSAN;AXIAL DE CREMALLERA;NISSAN PATHFINDER 96/, SAFARI 96/, TERRANO 96/ MEC.: HIDRÁULICO. LARGO:328MM. (A);SM
680092-VIE;VIEMAR;MITSUBISHI;AXIAL DE CREMALLERA;MITSUBISHI EXPO, EXPO LRV 92/96 MEC. HIDRÁULICO. LARGO: 299 MM. (A);SM
680093-VIE;VIEMAR;NISSAN;AXIAL DE CREMALLERA;NISSAN MAXIMA 95/99 MEC.: HIDRÁULICO. LARGO:301MM. (A) ;SM
680094-VIE;VIEMAR;VOLVO;AXIAL DE CREMALLERA;VOLVO 740,760,780 89/,960 90/95, 940, S90, V90 98/ MEC.: HIDRÁULICO. LARGO 229MM. (A);SM
680095-VIE;VIEMAR;PEUGEOT;AXIAL DE CREMALLERA;PEUGEOT 605 89/ MEC.: HIDRÁULICO.LARGO:295MM. (B);SM
680096-VIE;VIEMAR;FIAT;AXIAL DE CREMALLERA;FIAT PALIO, PALIO WEEKEND 01/, SIENA MEC.:MANUAL.LARGO:269 MM. (A) ;SM
680097-VIE;VIEMAR;AUDI;AXIAL DE CREMALLERA;AUDI A3 96> (MEC/HID) L=319,00 MM;SM
680097-VIE;VIEMAR;SEAT ;AXIAL DE CREMALLERA;SEAT LEON 99/, TOLEDO 99/ MEC.: HIDRÁULICO. LARGO: 319 MM (A);SM
680097-VIE;VIEMAR;VOLKSWAGEN;AXIAL DE CREMALLERA;VOLKSWAGEN GOLF IV 97/, NEW BEETLE97/, BORA98/ MEC.: HIDRÁULICO.LARGO 319 MM.(A);SM
680100-VIE;VIEMAR;SUZUKI;AXIAL DE CREMALLERA;SUZUKI SWIFT 1.0 MEC.: MANUAL.LARGO:288MM. (C);SM
680101-VIE;VIEMAR;MERCEDES BENZ;AXIAL DE CREMALLERA;MERCEDES BENZ CLASSE A140, A160, A170, A190 97/ MEC.: HIDRÁULICO. LARGO: 197 MM. (A);SM
